Gain DAC	Relative gain
825	5.61319867851159
826	5.62453205812322
827	5.63588975817994
828	5.64727181647454
829	5.65867827079979
830	5.67010915894847
831	5.68156451871335
832	5.69304438788721
833	5.70454880426283
834	5.71607780563297
835	5.72763142979043
836	5.73920971452798
837	5.75081269763838
838	5.76244041691443
839	5.77409291014888
840	5.78577021513453
841	5.79747236966415
842	5.80919941153051
843	5.82095137852639
844	5.83272830844456
845	5.84453023907781
846	5.85635720821891
847	5.86820925366063
848	5.88008641319576
849	5.89198872461706
850	5.90391622571732
851	5.91586895428931
852	5.9278469481258
853	5.93985024501958
854	5.95187888276342
855	5.9639328991501
856	5.97601233197238
857	5.98811721902306
858	6.00024759809491
859	6.01240350698069
860	6.0245849834732
861	6.03679206536519
862	6.04902479044947
863	6.06128319651878
864	6.07356732136592
865	6.08587720278366
866	6.09821287856478
867	6.11057438650205
868	6.12296176438825
869	6.13537505001616
870	6.14781428117855
871	6.16027949566819
872	6.17277073127787
873	6.18528802580036
874	6.19783141702844
875	6.21040094275489
876	6.22299664077247
877	6.23561854887397
878	6.24826670485217
879	6.26094114649983
880	6.27364191160974
881	6.28636903797467
882	6.2991225633874
883	6.3119025256407
884	6.32470896252736
885	6.33754191184014
886	6.35040141137183
887	6.3632874989152
888	6.37620021226302
889	6.38913958920808
890	6.40210566754315
891	6.415098485061
892	6.42811807955442
893	6.44116448881617
894	6.45423775063904
895	6.4673379028158
896	6.48046498313923
897	6.4936190294021
898	6.50680007939719
899	6.52000817091728
900	6.53324334175515
901	6.54650562970356
902	6.5597950725553
903	6.57311170810314
904	6.58645557413986
905	6.59982670845824
906	6.61322514885104
907	6.62665093311106
908	6.64010409903106
909	6.65358468440382
910	6.66709272702211
911	6.68062826467872
912	6.69419133516642
913	6.70778197627799
914	6.7214002258062
915	6.73504612154383
916	6.74871970128365
917	6.76242100281844
918	6.77615006394099
919	6.78990692244405
920	6.80369161612042
921	6.81750418276286
922	6.83134466016416
923	6.84521308611709
924	6.85910949841443
925	6.87303393484894
926	6.88698643321342
927	6.90096703130063
928	6.91497576690335
929	6.92901267781436
930	6.94307780182644
931	6.95717117673236
932	6.97129284032489
933	6.98544283039682
934	6.99962118474092
935	7.01382794114996
936	7.02806313741673
937	7.04232681133399
938	7.05661900069453
939	7.07093974329113
940	7.08528907691655
941	7.09966703936357
942	7.11407366842498
943	7.12850900189355
944	7.14297307756205
945	7.15746593322325
946	7.17198760666995
947	7.1865381356949
948	7.2011175580909
949	7.21572591165071
950	7.23036323416712
951	7.24502956343289
952	7.25972493724081
953	7.27444939338365
954	7.28920296965418
955	7.3039857038452
956	7.31879763374946
957	7.33363879715974
958	7.34850923186883
959	7.3634089756695
960	7.37833806635453
961	7.39329654171668
962	7.40828443954875
963	7.4233017976435
964	7.43834865379371
965	7.45342504579216
966	7.46853101143162
967	7.48366658850488
968	7.4988318148047
969	7.51402672812386
970	7.52925136625514
971	7.54450576699132
972	7.55978996812517
973	7.57510400744947
974	7.590447922757
975	7.60582175184052
976	7.62122553249283
977	7.63665930250668
978	7.65212309967487
979	7.66761696179017
980	7.68314092664535
981	7.69869503203318
982	7.71427931574646
983	7.72989381557794
984	7.74553856932042
985	7.76121361476666
986	7.77691898970944
987	7.79265473194154
988	7.80842087925573
989	7.8242174694448
990	7.84004454030151
991	7.85590212961864
992	7.87179027518898
993	7.88770901480529
994	7.90365838626035
995	7.91963842734694
996	7.93564917585784
997	7.95169066958581
998	7.96776294632365
999	7.98386604386412
1000	8
1001	8.01616486273129
1002	8.03236072088689
1003	8.04858767350291
1004	8.06484581961547
1005	8.08113525826069
1006	8.09745608847469
1007	8.11380840929359
1008	8.1301923197535
1009	8.14660791889054
1010	8.16305530574083
1011	8.17953457934049
1012	8.19604583872563
1013	8.21258918293239
1014	8.22916471099686
1015	8.24577252195517
1016	8.26241271484345
1017	8.2790853886978
1018	8.29579064255434
1019	8.3125285754492
1020	8.32929928641849
1021	8.34610287449833
1022	8.36293943872484
1023	8.37980907813414
